"","s.BP","s.VM","index","stat","p.value"
"Otu233_Arthropoda",0,1,2,0.0256870578906808,0.8497
"Otu234_Platyhelminthes",1,0,1,0.181438569987937,1e-04
"Otu235_Decapoda",0,1,2,0.132339430646368,0.0126
"Otu237_Arthropoda",1,0,1,0.5082784063969,2e-04
"Otu239_NA",1,0,1,0.0583477622319162,0.6782
"Otu24_Arthropoda",0,1,2,0.0920641483165472,0.4852
"Otu242_NA",1,0,1,0.117809380962157,0.4942
"Otu247_Demospongiae",0,1,2,0.148240790942373,3e-04
"Otu252_Subeucalanus",0,1,2,0.131449673522286,0.0089
"Otu255_Arthropoda",0,1,2,0.133973812295933,7e-04
"Otu257_Eukaryota",0,1,2,0.394773952804966,0.0015
"Otu259_Mollusca",0,1,2,0.134965387162728,9e-04
"Otu26_NA",1,0,1,0.131010696129236,1e-04
"Otu262_Eukaryota",1,0,1,0.131345782599091,0.0038
"Otu264_Cheilostomatida",0,1,2,0.134293932648965,0.0018
"Otu266_Cnidaria",1,0,1,0.0337778640774521,0.8074
"Otu268_Anthoathecata",0,1,2,0.130188910980824,1
"Otu270_NA",0,1,2,0.723877754765905,1e-04
"Otu272_Stylophora",0,1,2,0.135463627496586,9e-04
"Otu273_Arthropoda",0,1,2,0.163856665640873,0.2241
"Otu274_Eukaryota",1,0,1,0.131297516282198,0.022
"Otu275_Arthropoda",0,1,2,0.185218265406615,0.1562
"Otu276_Eukaryota",1,0,1,0.130966110320518,0.0589
"Otu277_NA",1,0,1,0.448092755010836,1e-04
"Otu278_Eukaryota",0,1,2,0.221826496869283,0.1111
"Otu282_Chordata",1,0,1,0.129286473866172,0.383
"Otu283_Eukaryota",0,1,2,0.489542999195873,2e-04
"Otu284_Candacia",0,1,2,0.132657251164812,0.3419
"Otu285_Hexanauplia",0,1,2,0.137588548891259,5e-04
"Otu288_Arthropoda",1,0,1,0.133369340818177,3e-04
"Otu29_Hexanauplia",0,1,2,0.132829471608591,4e-04
"Otu291_Trapezia",1,0,1,0.129185222862339,0.7321
"Otu293_Clausocalanus",1,0,1,0.130188910980824,1
"Otu296_Eukaryota",0,1,2,0.311426862203851,0.0135
"Otu297_NA",1,0,1,0.732906157488995,1e-04
"Otu30_NA",1,0,1,0.13279257905235,3e-04
"Otu300_Ctenocalanus",0,1,2,0.0753259203630701,0.8074
"Otu302_NA",1,0,1,0.0357840596265503,0.8141
"Otu304_Paracalanidae",0,1,2,0.134401399449245,3e-04
"Otu305_NA",0,1,2,0.469711292276801,3e-04
"Otu306_Eukaryota",0,1,2,0.324378344459043,0.0124
"Otu307_Oithona",0,1,2,0.123571928554213,0.7177
"Otu308_Eukaryota",1,0,1,0.0334366096823022,0.8059
"Otu309_Arthropoda",0,1,2,0.0287979595311559,0.8342
"Otu312_Arthropoda",1,0,1,0.15445369522985,0.2218
"Otu313_Eukaryota",1,0,1,0.490854050965222,1e-04
"Otu315_Eukaryota",1,0,1,0.162210356404659,0.2261
"Otu319_Oithona",0,1,2,0.174892757492872,0.0236
"Otu32_Arthropoda",0,1,2,0.0773963165366701,0.5199
"Otu320_NA",0,1,2,0.462332809162017,3e-04
"Otu321_NA",1,0,1,0.131687497391821,0.1445
"Otu323_Eukaryota",1,0,1,0.35737906317973,0.0052
"Otu324_Arthropoda",0,1,2,0.245652828675901,0.0554
"Otu325_Paracalanus",0,1,2,0.128700499792679,0.5477
"Otu326_Cnidaria",1,0,1,0.700355587009406,1e-04
"Otu329_Arthropoda",0,1,2,0.134514920386131,0.0014
"Otu33_Neogastropoda",1,0,1,0.130210016677744,0.4959
